pays,part imaginée,part réelle,part souhaitée
Belgique,50,18,16
Nouvelle-Zélande,50,18,27
Japon,41,19,25
Australie,54,21,24
Grande-Bretagne,59,23,20
France,56,23,27
Italie,46,23,26
Pays-Bas,40,24,16
Canada,55,25,26
Norvège,45,25,15
Espagne,56,27,17
Irlande,40,27,23
Allemagne,59,30,18
Suède,46,32,19
Corée du Sud,49,34,18
Colombie,43,34,27
Pologne,38,34,17
Mexique,36,35,30
USA,57,37,27
Chine,56,39,32
Israël,31,39,14
Chili,54,43,22
Afrique du Sud,49,43,30
Argentine,46,44,25
Pérou,32,47,29
Brésil,40,48,33
Inde,40,53,30
Turquie,53,54,21
Russie,53,70,23
