Year,Population,Murder by firearm
1971,7041074,628
1972,7441545,642
1973,7845092,769
1974,8248851,848
1975,8485230,747
1976,8551814,575
1977,8717334,507
1978,8967206,542
1979,9245231,650
1980,9579497,839
1981,10097754,890
1982,10375332,807
1983,10591701,571
1984,10930389,585
1985,11278547,553
1986,11657843,628
1987,12043608,697
1988,12417606,
1989,12797318,888
1990,13150027,873
1991,13195952,806
1992,13424416,789
1993,13608627,800
1994,13878905,739
1995,14149317,687
1996,14411563,668
1997,14712922,634
1998,15000475,589
1999,15322040,460
2000,15982378,499
2001,16331739,502
2002,16674608,552
2003,17071508,586
2004,17516732,555
2005,17918227,521
2006,18349132,740
2007,18680367,825
2008,18807219,
2009,18750483,
2010,18771768,
2011,18905048,
2012,19074434,
