Year;Unemployment;;;;;;;;;;;;;;;
1/1/07;12058;;;;;;;;;;;;;;;
2/1/07;12898;;;;;;;;;;;;;;;
3/1/07;13426;;;;;;;;;;;;;;;
4/1/07;13853;;;;;;;;;;;;;;;
5/1/07;14499;;;;;;;;;;;;;;;
6/1/07;14707;;;;;;;;;;;;;;;
7/1/07;14601;;;;;;;;;;;;;;;
8/1/07;14814;;;;;;;;;;;;;;;
9/1/07;15009;;;;;;;;;;;;;;;
10/1/07;15352;;;;;;;;;;;;;;;
11/1/07;15219;;;;;;;;;;;;;;;
12/1/07;15098;;;;;;;;;;;;;;;
1/1/08;15046;;;;;;;;;;;;;;;
2/1/08;15113;;;;;;;;;;;;;;;
3/1/08;15202;;;;;;;;;;;;;;;
4/1/08;15325;;;;;;;;;;;;;;;
5/1/08;14849;;;;;;;;;;;;;;;
6/1/08;14474;;;;;;;;;;;;;;;
7/1/08;14512;;;;;;;;;;;;;;;
8/1/08;14648;;;;;;;;;;;;;;;
9/1/08;14579;;;;;;;;;;;;;;;
10/1/08;14516;;;;;;;;;;;;;;;
11/1/08;15081;;;;;;;;;;;;;;;
12/1/08;14348;;;;;;;;;;;;;;;
1/1/09;14013;;;;;;;;;;;;;;;
2/1/09;13820;;;;;;;;;;;;;;;
3/1/09;13737;;;;;;;;;;;;;;;
4/1/09;13957;;;;;;;;;;;;;;;
5/1/09;13855;;;;;;;;;;;;;;;
6/1/09;13962;;;;;;;;;;;;;;;
7/1/09;13763;;;;;;;;;;;;;;;
8/1/09;13818;;;;;;;;;;;;;;;
9/1/09;13948;;;;;;;;;;;;;;;
10/1/09;13594;;;;;;;;;;;;;;;
11/1/09;13302;;;;;;;;;;;;;;;
12/1/09;13093;;;;;;;;;;;;;;;
1/1/10;12797;;;;;;;;;;;;;;;
2/1/10;12813;;;;;;;;;;;;;;;
3/1/10;12713;;;;;;;;;;;;;;;
4/1/10;12646;;;;;;;;;;;;;;;
5/1/10;12660;;;;;;;;;;;;;;;
6/1/10;12692;;;;;;;;;;;;;;;
7/1/10;12656;;;;;;;;;;;;;;;
8/1/10;12471;;;;;;;;;;;;;;;
9/1/10;12115;;;;;;;;;;;;;;;
10/1/10;12124;;;;;;;;;;;;;;;
11/1/10;12005;;;;;;;;;;;;;;;
12/1/10;12298;;;;;;;;;;;;;;;
1/1/11;12471;;;;;;;;;;;;;;;
2/1/11;11950;;;;;;;;;;;;;;;
3/1/11;11689;;;;;;;;;;;;;;;
4/1/11;11760;;;;;;;;;;;;;;;
5/1/11;11654;;;;;;;;;;;;;;;
6/1/11;11751;;;;;;;;;;;;;;;
7/1/11;11335;;;;;;;;;;;;;;;
8/1/11;11279;;;;;;;;;;;;;;;
9/1/11;11270;;;;;;;;;;;;;;;
10/1/11;11136;;;;;;;;;;;;;;;
11/1/11;10787;;;;;;;;;;;;;;;
12/1/11;10404;;;;;;;;;;;;;;;
